id;name;type;ra_deg;dec_deg;mag;majax;minax;const;common
C29;NGC5005;Galaxie;197.7343;37.0592;10.71;4.82;1.52;CVn;
C30;NGC7331;Galaxie;339.2667;34.4155;9.41;9.27;3.76;Peg;
C31;IC0405;Nebuleuse;79.1228;34.3562;10;50;30;Aur;Flaming Star Nebula
C32;NGC4631;Galaxie;190.5334;32.5415;9.24;14.45;2.2;CVn;Whale Galaxy
C33;NGC6992;Nebuleuse;314.0795;31.7428;7;60;8;Cyg;Eastern Veil
C34;NGC6960;Nebuleuse;311.4924;30.5951;7;210;160;Cyg;Veil Nebula
C35;NGC4889;Galaxie;195.0339;27.977;11.45;2.59;1.68;Com;
C36;NGC4559;Galaxie;188.9902;27.96;9.92;10.57;4.82;Com;
C37;NGC6885;Autre;302.9828;26.4888;;;;Vul;
C38;NGC4565;Galaxie;189.0866;25.9877;10.86;16.75;2.89;Com;Needle Galaxy
C39;NGC2392;Nebuleuse;112.2948;20.9118;9.61;0.86;0.86;Gem;Eskimo Nebula
C40;NGC3626;Galaxie;170.0159;18.3568;10.98;2.94;1.94;Leo;
C41;Melotte 25;Amas ouvert;66.75;15.8667;0.5;330;330;Tau;Hyades
C42;NGC7006;Amas globulaire;315.3719;16.1875;10.46;4.2;4.2;Del;
C43;NGC7814;Galaxie;0.812;16.1454;10.6;4.37;1.88;Peg;
C44;NGC7479;Galaxie;346.236;12.3229;11.09;3.65;2.72;Peg;
C45;NGC5248;Galaxie;204.3834;8.8852;9.97;4.07;2.38;Boo;
C46;NGC2261;Nebuleuse;99.7896;8.7443;11.85;2;1;Mon;Hubble's Nebula
C47;NGC6934;Amas globulaire;308.5479;7.4041;9.75;5.4;5.4;Del;
C48;NGC2775;Galaxie;137.5838;7.0379;10.24;4.25;3.36;Cnc;
C49;NGC2237;Nebuleuse;97.7275;5.0492;;80;50;Mon;Rosette Nebula
C50;NGC2244;Autre;97.9815;4.9429;;;;Mon;
